step,mean_vel_x,mean_abs_vx_error,p2_fault_active_mean,mean_abs_yaw_error,done_count,no_nan_inf
329,0.9625892639160156,0.1593795120716095,1.0,0.15236800909042358,0,True
330,0.9644039273262024,0.1606648564338684,1.0,0.1680450141429901,0,True
331,0.9684064388275146,0.17879176139831543,1.0,0.14629466831684113,0,True
332,0.9619152545928955,0.1754029095172882,1.0,0.1512388437986374,0,True
333,0.9387829303741455,0.15462805330753326,1.0,0.15548816323280334,0,True
334,0.9273639917373657,0.1539502888917923,1.0,0.16497847437858582,0,True
335,0.935605525970459,0.17060522735118866,1.0,0.1840648055076599,0,True
336,0.941152811050415,0.1674129068851471,1.0,0.16625644266605377,0,True
337,0.9462102055549622,0.16533434391021729,1.0,0.1678064614534378,0,True
338,0.9543910026550293,0.1653418391942978,1.0,0.13029378652572632,0,True
339,0.9538111686706543,0.16915585100650787,1.0,0.1450066715478897,0,True
340,0.9435921311378479,0.16330388188362122,1.0,0.17335958778858185,0,True
341,0.9456295967102051,0.17376437783241272,1.0,0.15579438209533691,0,True
342,0.9518803358078003,0.17653200030326843,1.0,0.1830497682094574,0,True
343,0.9496854543685913,0.17811039090156555,1.0,0.18194296956062317,0,True
344,0.9488091468811035,0.18262910842895508,1.0,0.18110725283622742,0,True
345,0.9350049495697021,0.17710000276565552,1.0,0.1437893807888031,0,True
346,0.9266728758811951,0.17321689426898956,1.0,0.16052380204200745,0,True
347,0.9310279488563538,0.17780233919620514,1.0,0.15178778767585754,0,True
348,0.9244627952575684,0.16582836210727692,1.0,0.15222975611686707,0,True
349,0.93131023645401,0.16666370630264282,1.0,0.1510724127292633,0,True
350,0.9384539127349854,0.16865363717079163,1.0,0.1714935302734375,0,True
351,0.9353939890861511,0.16749465465545654,1.0,0.1595149040222168,0,True
352,0.9480626583099365,0.1788150668144226,1.0,0.14751246571540833,1,True
353,0.960526704788208,0.17461857199668884,0.9921875,0.15833351016044617,0,True
354,0.9442974328994751,0.16186195611953735,0.9921875,0.14944958686828613,0,True
355,0.9329402446746826,0.16626790165901184,0.9921875,0.15657681226730347,0,True
356,0.9261597394943237,0.17376160621643066,0.9921875,0.15639401972293854,0,True
357,0.9266293048858643,0.1824977695941925,0.9921875,0.15682125091552734,0,True
358,0.9298665523529053,0.18281221389770508,0.9921875,0.1596517115831375,0,True
